Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Gls/90,npG,npG/90,xG/90,npxG/90,xG/Sh,npG-npxG,shots_p90,accuracy,conversion,shots_p90_norm,accuracy_norm,conversion_norm,Dist_norm,shooting_profile
Mostafa Mohamed,EGY,FW,Nantes,Ligue 1,26,1997,13.9,5,43,16,37.2,3.09,1.15,0.12,0.31,13.7,2,0,0,5.5,5.5,0.13,-0.5,-0.5,Matches,0.3597122302158273,5,0.3597122302158273,0.39568345323741005,0.39568345323741005,0.12790697674418605,-0.5,3.093525179856115,0.37209302325581395,0.11627906976744186,0.7275597171130862,0.4168770932377367,0.13655841848510106,0.21487603305785122,Balanced Shooter
Álvaro Morata,ESP,"FW,MF",Milan,Serie A,31,1992,12.2,5,27,10,37.0,2.21,0.82,0.19,0.5,11.3,0,0,0,3.9,3.9,0.15,1.1,1.1,Matches,0.4098360655737705,5,0.4098360655737705,0.319672131147541,0.319672131147541,0.14444444444444443,1.1,2.2131147540983607,0.37037037037037035,0.18518518518518517,0.4013935008237691,0.4098851191391614,0.5428959017563899,-0.03305785123966926,Balanced Shooter
Daniel Mosquera,COL,FW,Hellas Verona,Serie A,24,1999,15.3,5,57,15,26.3,3.73,0.98,0.09,0.33,13.5,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Matches,0.32679738562091504,5,0.32679738562091504,0.4313725490196078,0.4313725490196078,0.11578947368421053,-1.5999999999999996,3.725490196078431,0.2631578947368421,0.08771929824561403,0.9616842028505658,-0.02527326883795495,-0.03185777523918321,0.1942148760330579,Volume Shooter
Dany Mota,POR,"FW,MF",Monza,Serie A,26,1998,23.4,5,42,11,26.2,1.8,0.47,0.12,0.45,13.1,0,0,0,5.1,5.1,0.12,-0.1,-0.1,Matches,0.2136752136752137,5,0.2136752136752137,0.21794871794871795,0.21794871794871795,0.12142857142857141,-0.09999999999999964,1.794871794871795,0.2619047619047619,0.11904761904761904,0.24644676290529835,-0.03035953571041464,0.15288447808082245,0.1528925619834711,Balanced Shooter
Darwin Núñez,URU,FW,Liverpool,Premier League,25,1999,12.6,5,34,13,38.2,2.7,1.03,0.15,0.38,14.3,0,0,0,5.8,5.8,0.17,-0.8,-0.8,Matches,0.39682539682539686,5,0.39682539682539686,0.4603174603174603,0.4603174603174603,0.17058823529411765,-0.7999999999999998,2.6984126984126986,0.38235294117647056,0.14705882352941177,0.5811821421653975,0.4585204683836626,0.3180657869316511,0.27685950413223154,Balanced Shooter
Aimar Oroz,ESP,MF,Osasuna,La Liga,22,2001,33.0,5,47,15,31.9,1.43,0.46,0.09,0.27,19.7,3,1,1,4.2,3.5,0.08,0.8,0.5,Matches,0.15151515151515152,4,0.12121212121212122,0.1272727272727273,0.10606060606060606,0.08936170212765958,0.5,1.4242424242424243,0.3191489361702128,0.10638297872340426,0.10913946175671467,0.20198546376131293,0.07820143950464999,0.8347107438016528,Balanced Shooter
Willi Orban,HUN,DF,RB Leipzig,Bundesliga,31,1992,24.7,5,22,7,31.8,0.89,0.28,0.23,0.71,8.3,0,0,0,4.0,4.0,0.18,1.0,1.0,Matches,0.20242914979757085,5,0.20242914979757085,0.16194331983805668,0.16194331983805668,0.18181818181818182,1.0,0.8906882591093118,0.3181818181818182,0.22727272727272727,-0.08852669272696305,0.19806008565278002,0.7910849895499329,-0.34297520661157005,Balanced Shooter
Luis Rioja,ESP,"MF,FW",Valencia,La Liga,30,1993,31.5,5,28,12,42.9,0.89,0.38,0.11,0.25,21.2,1,2,2,3.3,1.7,0.06,1.7,1.3,Matches,0.15873015873015872,3,0.09523809523809523,0.10476190476190475,0.053968253968253964,0.11785714285714285,1.3,0.8888888888888888,0.42857142857142855,0.17857142857142858,-0.08919330656901735,0.6461139583267389,0.5038947593888333,0.9896694214876032,Balanced Shooter
Georginio Rutter,FRA,"MF,FW",Brighton,Premier League,22,2002,18.4,5,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4,Matches,0.27173913043478265,5,0.27173913043478265,0.25,0.25,0.092,0.40000000000000036,2.717391304347826,0.24,0.1,0.5882131585041452,-0.11926748064101207,0.04056118806225907,0.40082644628099173,Balanced Shooter
Umar Sadiq,NGA,FW,Valencia,La Liga,27,1997,9.2,5,20,7,35.0,2.18,0.76,0.25,0.71,13.2,0,0,0,3.4,3.4,0.19,1.6,1.6,Matches,0.5434782608695653,5,0.5434782608695653,0.3695652173913044,0.3695652173913044,0.16999999999999998,1.6,2.173913043478261,0.35,0.25,0.38687041789455273,0.32720502542350927,0.9251070969584463,0.16322314049586775,Balanced Shooter
